hotelName,hotelInformationUrl,hotelMinCharge,telephoneNo,reviewAverage
ダイワロイネットホテル那覇おもろまち,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=134763,3500,098-862-4555,4.39
ハイアットリージェンシー那覇沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=148000,9200,098-866-8888,4.67
ダイワロイネットホテル沖縄県庁前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=104526,4000,098-860-1855,4.22
東急ステイ沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177761,4700,098-833-1090,4.57
ヒューイットリゾート那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181785,6090,098-943-8325,4.25
ホテルリソルトリニティ那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182884,5800,098-863-9269,4.48
ホテルパームロイヤルNAHA国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=38282,4318,098-865-5551,4.34
ダイワロイネットホテル那覇国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=128440,4350,098-868-9055,4.41
ホテル　ロコア　ナハ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=71990,6650,098-868-6578,4.45
リーガロイヤルグラン沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=136808,8000,098-867-3331,4.61
ホテルグレイスリー那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=149369,6700,098-867-6111,4.48
ＪＲ九州ホテル　ブラッサム那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160939,6800,098-861-8700,4.46
ＨＯＴＥＬ　ＳＡＮＳＵＩ　ＮＡＨＡ　琉球温泉　波之上の湯,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178447,4386,098-860-7001,4.01
沖縄逸の彩（ひので）　温泉リゾートホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181495,5600,098-863-8877,4.41
ロワジールホテル那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=16443,7140,098-868-2222,4.1
ロワジールスパタワー那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=78094,9244,098-868-2222,4.23
沖縄ハーバービューホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176757,3375,098-853-2111,4.18
ホテルアクアチッタナハ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=163087,5059,098-866-5000,4.4
ホテルコレクティブ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172986,8350,098-860-8366,4.77
ホテル・アンドルームス那覇ポート,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183747,4320,098-861-8111,4.3
アルモントホテル那覇おもろまち(旧ホテル法華クラブ那覇新都心),https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=40768,5000,098-860-6611,4.4
サンプラザホテル＜沖縄県＞,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=18195,3000,098-866-0920,4.12
ＯＭＯ５沖縄那覇　ｂｙ　星野リゾート,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181957,6200,05031348095,4.23
リッチモンドホテル那覇久茂地,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=19934,3170,098-869-0077,4.18
ノボテル沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167519,4987,098-887-1111,4.33
ホテル　ストレータ那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178292,5100,098-860-7400,4.4
沖縄かりゆしリゾートエグゼス那覇＜県庁前＞,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171943,9350,098-860-3300,4.67
コンフォートホテル那覇県庁前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=73870,4000,098-941-7311,4.18
ホテルＪＡＬシティ那覇（国際通り）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=50220,5300,098-866-2580,4.34
コンフォートイン那覇泊港,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182682,4050,098-866-4711,4.41
